hsX	0	7499999	fill_color=(140,104,137)
hsX	7500000	14999999	fill_color=(140,104,137)
hsX	15000000	22499999	fill_color=(140,104,137)
hsX	22500000	29999999	fill_color=(140,104,137)
hsX	30000000	37499999	fill_color=(140,104,137)
hsX	37500000	44999999	fill_color=(140,104,137)
hsX	45000000	52499999	fill_color=(140,104,137)
hsX	52500000	59999999	fill_color=(140,104,137)
hsX	60000000	67499999	fill_color=(140,104,137)
hsX	67500000	74999999	fill_color=(140,104,137)
hsX	75000000	82499999	fill_color=(140,104,137)
hsX	82500000	89999999	fill_color=(140,104,137)
hsX	90000000	97499999	fill_color=(140,104,137)
hsX	97500000	104999999	fill_color=(140,104,137)
hsX	105000000	112499999	fill_color=(140,104,137)
hsX	112500000	119999999	fill_color=(140,104,137)
hsX	120000000	127499999	fill_color=(140,104,137)
hsX	127500000	134999999	fill_color=(140,104,137)
hsX	135000000	142499999	fill_color=(140,104,137)
hsX	142500000	149999999	fill_color=(140,104,137)
hsX	150000000	157499999	fill_color=(140,104,137)
hs12	0	7499999	fill_color=(115,186,126)
hs12	7500000	14999999	fill_color=(115,186,126)
hs12	15000000	22499999	fill_color=(115,186,126)
hs12	22500000	29999999	fill_color=(115,186,126)
hs12	30000000	37499999	fill_color=(115,186,126)
hs12	37500000	44999999	fill_color=(115,186,126)
hs12	45000000	52499999	fill_color=(115,186,126)
hs12	52500000	59999999	fill_color=(115,186,126)
hs12	60000000	67499999	fill_color=(115,186,126)
hs12	67500000	74999999	fill_color=(115,186,126)
hs12	75000000	82499999	fill_color=(115,186,126)
hs12	82500000	89999999	fill_color=(115,186,126)
hs12	90000000	97499999	fill_color=(115,186,126)
hs12	97500000	104999999	fill_color=(115,186,126)
hs12	105000000	112499999	fill_color=(115,186,126)
hs12	112500000	119999999	fill_color=(115,186,126)
hs12	120000000	127499999	fill_color=(115,186,126)
hs12	127500000	134999999	fill_color=(115,186,126)
hs22	0	7499999	fill_color=(121,74,141)
hs22	7500000	14999999	fill_color=(121,74,141)
hs22	15000000	22499999	fill_color=(121,74,141)
hs22	22500000	29999999	fill_color=(121,74,141)
