chr	-	hs1	1	0	249250621	chr1
chr	-	hs2	2	0	243199373	chr2
chr	-	hs3	3	0	198022430	chr3
chr	-	hs4	4	0	191154276	chr4
chr	-	hs5	5	0	180915260	chr5
chr	-	hs6	6	0	171115067	chr6
chr	-	hs7	7	0	159138663	chr7
chr	-	hs8	8	0	146364022	chr8
chr	-	hs9	9	0	141213431	chr9
chr	-	hs10	10	0	135534747	chr10
chr	-	hs11	11	0	135006516	chr11
chr	-	hs12	12	0	133851895	chr12
chr	-	hs13	13	0	115169878	chr13
chr	-	hs14	14	0	107349540	chr14
chr	-	hs15	15	0	102531392	chr15
chr	-	hs16	16	0	90354753	chr16
chr	-	hs17	17	0	81195210	chr17
chr	-	hs18	18	0	78077248	chr18
chr	-	hs19	19	0	59128983	chr19
chr	-	hs20	20	0	63025520	chr20
chr	-	hs21	21	0	48129895	chr21
chr	-	hs22	22	0	51304566	chr22
chr	-	hsX	x	0	155270560	chrx
chr	-	hsY	y	0	59373566	chry
